キャラID,キャラ名,セリフ,表情イラスト,発動条件
,???,久しぶりじゃのう。ベット,,
,???,久しぶりだよね？ ワーティナさ……,,
,,どーーーーーーーーーーん！！！！,,
,,ぱこーーん！！,,
,???,うっ、うわわわっ‼,,
,???,袖引っ張るなベッ……う、うわぁぁぁ！,,
,,,,
1,柴崎　新,……,1,
1,柴崎　新,……,2,終了
1,柴崎　新,ここは、一体？,0,
1,柴崎　新,本当に、ここはどこなんだ？,0,
1,柴崎　新,そこに倒れてるのは……ベット？,2,
2,ベット・ファックルターテム,る、うーん,,
1,柴崎　新,今すぐ脱出出来る訳じゃないし、いっか,0,
2,ベット・ファックルターテム,勝手に見捨てるなー！ あと無能言うな,5,
1,柴崎　新,なんだ生きてたのか,1,
2,ベット・ファックルターテム,お願いします新様、殺さないで,4,
1,柴崎　新,流石にそんなことはしないよ,1,
2,ベット・ファックルターテム,ちかず、そちの発言がそう聞こえた,5,
1,柴崎　新,それはごめん,1,
1,柴崎　新,そういえば、今まで何してたんだっけ？,1,
2,ベット・ファックルターテム,確か、うぬが皆の所に行きたいと言って,1,
2,ベット・ファックルターテム,それで何とか皆がいる場所に着いたんだよに,0,
2,ベット・ファックルターテム,そこで誰かの投げた紙コップが頭に当たり,4,
1,柴崎　新,巻き込まれて私達がここにいると,4,
1,柴崎　新,とりあえず、ここがどこだか分かるか？,0,
2,ベット・ファックルターテム,うぬの能力を忘れたのか？ まぁ、,1,
2,ベット・ファックルターテム,他のに頼れるか試してみるか,3,
1,柴崎　新,出来るのか！？,2,
2,ベット・ファックルターテム,ろんろん嘘だがな,1,
2,ベット・ファックルターテム,（やってくれたな、テルムー！ ）,5,
2,ベット・ファックルターテム,まぁ仕返しした所で、出来ないが,1,
1,柴崎　新,何無駄口言ってるんだ？,0,
2,ベット・ファックルターテム,うぬだって基本スペックぐらい欲しかった！,1,
1,柴崎　新,……とりあえず探索しようと思うんだが,0,
2,ベット・ファックルターテム,少し待ってくれ。この場合の倍率は……,1,
2,ベット・ファックルターテム,オッズがこっちの方が高い、だと,4,
1,柴崎　新,つまり？,3,
2,ベット・ファックルターテム,調べるのが一番の最適解ということだ,1,
1,柴崎　新,なるほどな,0,
2,ベット・ファックルターテム,うぬはこんな場所から早く出たい！,4,
1,柴崎　新,落ち着いて探索しような,0,
,,,,
1,柴崎　新,ッ！ 出られないか,2,ガーデニング用ハサミが無い状態で出口を調べる
2,ベット・ファックルターテム,流石にこれは動かせられないな,0,
1,柴崎　新,本当に、ベットは無能だな,1,
2,ベット・ファックルターテム,これでも創造神の一個下なんだけど,7,
2,ベット・ファックルターテム,……まぁ他のが強すぎるんだけなの,1,
1,柴崎　新,なぁ、一ついいか？,1,
2,ベット・ファックルターテム,どうした？,0,
1,柴崎　新,ここが出口なのか？,0,
2,ベット・ファックルターテム,完全に閉じているが、確かにここにゃ,1,
2,ベット・ファックルターテム,この茨は、完全に床を貫通している,0,
2,ベット・ファックルターテム,欠片が散乱しているがな,1,
1,柴崎　新,これが誰かがやったのは分かる,1,
1,柴崎　新,倍率？ で分かるんだっけか？,0,
2,ベット・ファックルターテム,そっちの言葉で言うとな,0,
2,ベット・ファックルターテム,正確には「正解への可能性」だろうか,1,
1,柴崎　新,「正解への可能性」……,1,
1,柴崎　新,つまり、それって……,0,
2,ベット・ファックルターテム,そ、それが最大値。これがゴールだて,1,
2,ベット・ファックルターテム,今すぐ出れそうには無いけどぐ,0,
1,柴崎　新,どこかに使える道具があるかもしれない,0,
2,ベット・ファックルターテム,例えば何が？,0,
1,柴崎　新,枝切りハサミとかはどうだ？,0,
1,柴崎　新,一室でこの広さだ。全体的に広いはずだ,1,
2,ベット・ファックルターテム,確証が無いが、情報も無い,1,
2,ベット・ファックルターテム,ここはひとまず調べることにしよう,0,
,,,,
1,柴崎　新,ここは……,0,鉄の扉を調べる（ハロー入手前
2,ベット・ファックルターテム,離れろ！ 新！,5,
1,柴崎　新,ど、どうしたんだベット？,1,
2,ベット・ファックルターテム,ちぃだけ漏れているけど,0,
2,ベット・ファックルターテム,これは恐らく毒ガスよ,0,
1,柴崎　新,！？,4,
2,ベット・ファックルターテム,これぐらいなら、新に影響は無いだろうけど,0,
2,ベット・ファックルターテム,恐らく、この部屋の中は危険よ,1,
2,ベット・ファックルターテム,他の場所を見てみましょ,0,
,,,,
,,毒ガスが漏れていて開けれない,,鉄の扉を調べる（２回目以降
,,,,
1,柴崎　新,（紙コップは流石に……）,1,
2,ベット・ファックルターテム,新！ まさか、そのままにするつもりか⁉,5,
1,柴崎　新,紙コップを使って出来ることなんて,1,
1,柴崎　新,液体を運ぶぐらいだろう？,1,
2,ベット・ファックルターテム,まぁそうかもしれない,3,
1,柴崎　新,それ以外どう使うんだ？,0,
2,ベット・ファックルターテム,それは……うぬにも分からん,1,
2,ベット・ファックルターテム,ただ、テルムーが造った紙コップだ,0,
2,ベット・ファックルターテム,やちは「大武器」、凶器を作る能力だ,3,
1,柴崎　新,……想像出来ないが,1,
2,ベット・ファックルターテム,まぁ耐性がバカ高い紙コップと思いな,3,
2,ベット・ファックルターテム,何かに使えることに、間違いない,1,
,,,,
,,ガチャ,,鍵がない状態で緑のドアを調べる
1,柴崎　新,鍵がかかってるな,2,
2,ベット・ファックルターテム,勝手にドアを壊すのは良くないし後にする？,1,
1,柴崎　新,そうだな,0,
1,柴崎　新,どこかに鍵があるかもしれないし,1,
1,柴崎　新,他の場所に行こう,0,
,,,,
2,ベット・ファックルターテム,鍵がないから開けられないに……,0,鍵無しでもう一回調べた場合
,,,,
1,柴崎　新,これは……,0,レコードを調べる
2,ベット・ファックルターテム,新、ちょっとこの部屋埃まみれ過ぎない？,6,
2,ベット・ファックルターテム,でも、これだけは綺麗だね,0,
1,柴崎　新,確かに。ケースが付いている訳じゃないのに,1,
1,柴崎　新,誰かが掃除しているのか？,0,
2,ベット・ファックルターテム,確か、「レコード」っていうのだよね,0,
2,ベット・ファックルターテム,音楽を流す機械なんだっけ？,0,
1,柴崎　新,そうだね。えっと、「４５RPM」？,0,
2,ベット・ファックルターテム,流すやつの名前かね？,0,
1,柴崎　新,多分ね。流石の私は知らないけど,1,
2,ベット・ファックルターテム,これが、ジュネレーションファイナル,1,
1,柴崎　新,ギャップな。それじゃあ終わってるよ,1,
2,ベット・ファックルターテム,新、試しに流してみないか？,0,
2,ベット・ファックルターテム,ほら、電源ボタンんならそこに,7,
2,ベット・ファックルターテム,（廊下には蠟燭を使ってるのに、電源？）,1,
1,柴崎　新,……そういえばこの前,0,
1,柴崎　新,何故かレコードの使い方を教えられたな,0,
2,ベット・ファックルターテム,ということは流せるのか？,0,
1,柴崎　新,でも、それ以降使ったこと無いから,0,
1,柴崎　新,（さて、どうしようか）,1,
,,,,
1,柴崎　新,怖いけど、やってみるよ,0,「自分でやる」を選択した場合
2,ベット・ファックルターテム,お、頑張れー,0,
,,カチカチ,,
1,柴崎　新,そして針を置くと……,0,
,,,,
,,,,
2,ベット・ファックルターテム,おぉ！ 流石は新！,0,
1,柴崎　新,よ、良かった,0,
,,,,
1,柴崎　新,何か音がしたような,2,
,,,,
2,ベット・ファックルターテム,床が動いてる！？,2,
1,柴崎　新,これにそんなからくりがあったのか,0,
2,ベット・ファックルターテム,確かにそれは凄いに……,1,
2,ベット・ファックルターテム,あれ、床下に何か無いと？,0,
1,柴崎　新,鍵……だろうか,0,
,,,,
1,柴崎　新,……これってここの私物だよね,1,「ベットにやってもらう」を選択した場合
2,ベット・ファックルターテム,えっと、とりあえず法律は気にするな,7,
2,ベット・ファックルターテム,最悪力で解決出来るしね,0,
1,柴崎　新,うーん、聞かなかったことにしよう,4,
2,ベット・ファックルターテム,それで、私がやっていいのか？,0,
1,柴崎　新,まぁ、ベットしかいないからね,0,
2,ベット・ファックルターテム,まぁそうだよえね,0,
2,ベット・ファックルターテム,それに、これだけオッズが高い,0,
1,柴崎　新,一応聞くけど、ベットは使い方が分かるの？,0,
2,ベット・ファックルターテム,いや？,0,
,,バキッ,,
,,,,
2,ベット・ファックルターテム,不思議だな、負けと書いてあるぞ,1,
1,柴崎　新,限定的な幻覚はやめてくれ,0,
,,,,
2,ベット・ファックルターテム,おや、あそこに鍵があるな,0,
2,ベット・ファックルターテム,ひょっとしたら、さっきのドアかもな,0,
1,柴崎　新,だからって、壊す必要は無いだろう,4,
1,柴崎　新,もし苦情を言われたらどうするの？,0,
2,ベット・ファックルターテム,その時は「自然と壊れました」と言おう,1,
1,柴崎　新,とりあえず、この部屋から出よう,4,
,,,,
1,柴崎　新,え？,2,右側の部屋に入ったとき/「じぶんでやる」を選んだ場合
2,ベット・ファックルターテム,るる？ こんなところに少女が,2,
3,？？,ハローハロー、貴方達は誰？,0,
1,柴崎　新,私は柴崎新。こっちは連れのベット,0,
2,ベット・ファックルターテム,に、普通に自己紹介するのか,2,
2,ベット・ファックルターテム,うぬはベット。よろしくに,0,
3,？？,ハローハロー、あらたとベット？,0,
1,柴崎　新,（日本語は通じているが、まだ幼いな）,6,
1,柴崎　新,君はいつからここにいるの？,0,
3,？？,ハローハロー、わたしはずっとここだよ,0,
1,柴崎　新,……な、なるほど,1,
1,柴崎　新,ところで、少しいいかな？,0,
3,？？,ハローハロー、わたしでこたえられるなら,0,
1,柴崎　新,信じられないだろうけど、実は,0,
1,柴崎　新,私達はこの世界に迷ってしまったんだ,0,
2,ベット・ファックルターテム,にぃ急に言われても混乱するよね,1,
3,？？,ハローハロー、わたしはわかる,0,
2,ベット・ファックルターテム,分かるんかい！？,2,
2,ベット・ファックルターテム,ということは、今閉じ込められてることも,4,
3,？？,ハローハロー、しってる,1,
3,？？,ハローハロー、でもでるほうほうしらない,0,
1,柴崎　新,そうなのか、分かった,1,
2,ベット・ファックルターテム,話している所、少しいいか？,0,
2,ベット・ファックルターテム,うぬ達はここから出たいと思っている,1,
2,ベット・ファックルターテム,そこで、そちの力が欲しいんだがいいか？,0,
2,ベット・ファックルターテム,別に無理にとまでは言わないさ,3,
3,？？,ハローハロー、おきゃくさんにはおもてなし,0,
3,？？,ハローハロー、わかったついていく,0,
1,柴崎　新,そういえば君の名前は？,0,
3,？？,ハローハロー、わたしにはない,1,
1,柴崎　新,それじゃあ、ハローなんてどう？,3,
3,ハロー,ハローハロー、どうして？,0,
1,柴崎　新,そうやって言ってるから,1,
1,柴崎　新,呼び方があった方が話しやすくなるよ,0,
2,ベット・ファックルターテム,まぁ何とも雑な理由のこと,7,
3,ハロー,ハローハロー、いいとおもう,0,
2,ベット・ファックルターテム,いいんかい！,2,
2,ベット・ファックルターテム,（本人な気に入ったならいいけど）,1,
3,ハロー,ありがとう,4,
,,,,
1,柴崎　新,え？,2,右側の部屋に入ったとき/「ベットにやってもらう」を選んだ場合
2,ベット・ファックルターテム,るる？こんなところに少女が,2,
3,??,（彼女は言った。お客様にはこう言う）,1,
3,??,……ハローハロー、貴方たちは？,0,
1,柴崎　新,えっと、柴崎新です。こいつはベット,5,
2,ベット・ファックルターテム,いや何敬語になってるんだよ,7,
2,ベット・ファックルターテム,うぬはベット。よろしくに,0,
3,??,ハローハロー、あらたとべっと？,0,
1,柴崎　新,（日本語は通じているが、まだ幼いな）,6,
1,柴崎　新,えっと、君はいつからここにいるの？,0,
2,ベット・ファックルターテム,気にし過ぎに、新,1,
3,??,ハローハロー、わたしはずっとここにいるよ,0,
3,??,それと、ここら辺はもう誰も手入れしてない,1,
2,ベット・ファックルターテム,はに？,0,
3,??,ハローハロー、それに主様はいないし,0,
2,ベット・ファックルターテム,……れなら、あの状態にも納得だな,1,
1,柴崎　新,え、じゃあ君はどうやってここに？,2,
